airport,num_flights,on_time_rate
OAJ,1111,0.89199
ITO,2741,0.89165
MLB,1117,0.88183
BLI,1082,0.88078
DAB,1385,0.87798
EVV,1216,0.87171
FAI,1985,0.87053
GTF,1081,0.87049
CRP,1934,0.87022
GRB,1938,0.86997
MLU,1085,0.86912
ANC,8236,0.86887
GEG,7446,0.86852
JAN,3258,0.86802
TUS,7325,0.86799
CHA,2801,0.86790
TRI,1235,0.86721
BOI,9961,0.86718
CAE,2744,0.86698
PSC,2121,0.86610
RST,1096,0.86588
SGU,1370,0.86569
SJC,22307,0.86556
MFR,2653,0.86544
FAY,1253,0.86512
PDX,25272,0.86503
HRL,1590,0.86478
KOA,6654,0.86459
GPT,1617,0.86395
LIH,5865,0.86377
GSO,4591,0.86277
STS,1428,0.86275
MRY,1744,0.86239
EUG,3239,0.86230
SLC,51249,0.86152
TLH,2417,0.86098
GSP,5790,0.85924
AGS,1788,0.85906
HSV,3453,0.85896
FCA,1935,0.85891
JNU,2006,0.85842
HNL,22810,0.85822
PSP,5910,0.85821
SMF,21546,0.85807
RDM,2818,0.85806
FAT,5111,0.85795
AVP,1019,0.85770
MSN,4951,0.85760
BFL,1158,0.85751
MAF,3650,0.85644
DAY,3930,0.85623
TUL,6796,0.85550
ILM,2926,0.85509
SAT,15139,0.85475
MSP,58886,0.85460
ONT,9824,0.85454
ELP,6881,0.85424
MHT,2913,0.85376
BIL,1988,0.85362
AEX,1152,0.85330
MOT,1096,0.85310
DTW,61075,0.85194
ROA,1016,0.85138
OMA,10005,0.85107
PIT,17946,0.85105
MLI,1788,0.85067
TYS,6154,0.85067
LAN,1011,0.85064
PNS,5194,0.84963
DSM,6705,0.84952
ECP,3275,0.84947
LEX,3342,0.84889
CMH,17045,0.84834
LGB,6369,0.84833
OKC,9268,0.84830
MKE,11474,0.84800
ATL,150749,0.84783
BTR,2359,0.84739
ICT,4068,0.84735
GNV,1771,0.84698
MCI,20035,0.84672
GJT,1783,0.84633
ABQ,9030,0.84618
IND,18432,0.84587
ABE,1967,0.84494
SAN,35499,0.84473
RNO,8678,0.84455
SNA,17429,0.84365
SBA,3065,0.84339
BMI,1155,0.84329
BUR,11700,0.84291
SDF,9474,0.84273
IDA,1508,0.84218
LAX,84114,0.84204
MDT,2386,0.84116
MOB,1718,0.84109
ATW,1984,0.84073
SYR,5019,0.84021
AMA,2091,0.83979
CRW,1581,0.83934
MSO,1974,0.83891
GRR,7400,0.83865
OAK,19627,0.83854
SEA,69615,0.83853
SBN,2640,0.83826
CLE,17390,0.83807
LBB,2637,0.83807
BUF,8371,0.83801
JAX,12242,0.83777
RIC,8239,0.83760
KTN,1036,0.83591
BIS,1705,0.83578
SFO,57993,0.83489
LIT,5148,0.83450
ROC,5106,0.83431
BDL,10222,0.83340
CHS,10249,0.83325
TVC,1924,0.83316
MFE,1764,0.83277
RDU,23347,0.83274
MGM,1321,0.83270
ACY,1303,0.83269
LFT,1657,0.83223
ALB,4685,0.83138
IAD,25171,0.83123
CID,3504,0.83105
MYR,6197,0.83072
OGG,12094,0.83066
MEM,9625,0.83023
PVD,6294,0.83016
SAV,7584,0.83004
PWM,4533,0.82969
PHX,73069,0.82948
CVG,17046,0.82923
STL,25877,0.82904
BHM,6837,0.82873
ORF,9193,0.82857
RAP,2215,0.82709
TPA,31646,0.82633
BTV,3212,0.82628
BNA,36305,0.82625
RSW,16315,0.82556
VPS,4136,0.82544
SBP,2047,0.82511
GRK,1130,0.82478
PIA,1654,0.82467
XNA,4839,0.82372
SHV,2255,0.82350
CAK,1564,0.82289
PHL,41576,0.82249
FSD,3156,0.82034
STT,2141,0.82018
CLT,91769,0.82007
FAR,2666,0.81920
BZN,4233,0.81904
AUS,31713,0.81840
IAH,60904,0.81830
MSY,20781,0.81815
DCA,51384,0.81802
COS,4605,0.81737
FWA,2504,0.81589
SGF,3285,0.81431
DRO,1539,0.81352
CHO,1557,0.81310
ISP,2092,0.81310
BOS,53725,0.81247
MTJ,1125,0.81156
HOU,23489,0.80863
HHH,1137,0.80739
AVL,4009,0.80569
BGR,1711,0.80421
LGA,59922,0.80236
FNT,1269,0.79984
DAL,29575,0.79824
ORD,118208,0.79791
SRQ,5838,0.79788
PBI,10603,0.79647
JFK,48914,0.79552
PIE,3442,0.79431
BWI,39593,0.79340
DFW,125774,0.79030
LAS,71432,0.78967
JAC,2372,0.78921
HPN,4262,0.78695
AZA,2648,0.78588
SJU,12721,0.78414
MIA,40910,0.78387
DEN,116361,0.78256
MDW,33576,0.78154
FLL,39093,0.77804
SFB,4326,0.77624
EGE,1250,0.77520
MCO,62027,0.77123
EYW,3350,0.76955
PGD,2720,0.76728
EWR,50808,0.76447
ASE,2576,0.71040
