airline,avg_arr_delay,n
Allegiant Air,13.284601127961896,50179
JetBlue Airways,12.276124516889453,109447
Frontier Airlines Inc.,11.100428951858525,62711
ExpressJet Airlines LLC d/b/a aha!,10.03197593448833,17951
Spirit Air Lines,8.029484978540772,93200
Mesa Airlines Inc.,7.3098100100837105,62477
American Airlines Inc.,6.661228711969786,371218
United Air Lines Inc.,5.035985016312885,248270
SkyWest Airlines Inc.,4.023311421969874,334986
PSA Airlines Inc.,3.9286549481557356,103483
Hawaiian Airlines Inc.,3.8947567669884537,31698
Envoy Air,3.2789143480632843,117312
Southwest Airlines Co.,3.2697955813330117,555869
Horizon Air,2.3762415377773385,20237
Alaska Airlines Inc.,1.0979001770199606,98294
Delta Air Lines Inc.,1.0850788339017954,388475
Republic Airline,0.5901756824252427,138147
Endeavor Air Inc.,-1.2585390721724565,109848
