origin,dest,num_flights,avg_arr_delay
DEN,ASE,910,21.248351648351647
PNS,DFW,721,19.35506241331484
MCO,JFK,1910,18.566492146596858
FLL,JFK,1710,18.29824561403509
DFW,HOU,947,18.277719112988386
SJU,EWR,926,18.207343412527
MCO,EWR,2754,18.151416122004356
BHM,DFW,870,17.173563218390804
MIA,JFK,2159,16.878184344603984
DFW,CMH,621,16.576489533011273
EWR,SJU,895,16.49385474860335
JFK,PBI,807,16.10285006195787
SDF,DFW,781,16.102432778489117
MCO,SJU,2576,16.09277950310559
DFW,BHM,794,15.760705289672543
BOS,SJU,589,15.61799660441426
DCA,HPN,501,15.602794411177644
DEN,JFK,541,15.5452865064695
FLL,EWR,2253,15.061695517088326
RSW,EWR,993,15.016112789526687
