airline,avg_dep_delay,avg_arr_delay,n
Allegiant Air,13.829390781004006,13.284601127961896,50179
JetBlue Airways,18.132904510859138,12.276124516889453,109447
Frontier Airlines Inc.,15.949929039562438,11.100428951858525,62711
ExpressJet Airlines LLC d/b/a aha!,12.679182218260822,10.03197593448833,17951
Spirit Air Lines,12.948776824034335,8.029484978540772,93200
Mesa Airlines Inc.,12.152616162747892,7.3098100100837105,62477
American Airlines Inc.,12.533756444999973,6.661228711969786,371218
United Air Lines Inc.,11.140117613888105,5.035985016312885,248270
SkyWest Airlines Inc.,9.401542154000465,4.023311421969874,334986
PSA Airlines Inc.,7.884618729646415,3.9286549481557356,103483
Hawaiian Airlines Inc.,5.0755568174648245,3.8947567669884537,31698
Envoy Air,6.635339948172395,3.2789143480632843,117312
Southwest Airlines Co.,10.786933612056078,3.2697955813330117,555869
Horizon Air,4.793645303157582,2.3762415377773385,20237
Alaska Airlines Inc.,4.554194559179604,1.0979001770199606,98294
Delta Air Lines Inc.,8.018225111011004,1.0850788339017954,388475
Republic Airline,5.680593860163449,0.5901756824252427,138147
Endeavor Air Inc.,5.89900589906052,-1.2585390721724565,109848
