origin,dest,avg_arr_delay,n
DEN,ASE,21.248351648351647,910
PNS,DFW,19.35506241331484,721
MCO,JFK,18.566492146596858,1910
FLL,JFK,18.29824561403509,1710
DFW,HOU,18.277719112988386,947
SJU,EWR,18.207343412527,926
MCO,EWR,18.151416122004356,2754
BHM,DFW,17.173563218390804,870
MIA,JFK,16.878184344603984,2159
DFW,CMH,16.576489533011273,621
EWR,SJU,16.49385474860335,895
JFK,PBI,16.10285006195787,807
SDF,DFW,16.102432778489117,781
MCO,SJU,16.09277950310559,2576
DFW,BHM,15.760705289672543,794
BOS,SJU,15.61799660441426,589
DCA,HPN,15.602794411177644,501
DEN,JFK,15.5452865064695,541
FLL,EWR,15.061695517088326,2253
RSW,EWR,15.016112789526687,993
DFW,MFE,14.608476286579213,991
ASE,DEN,14.571902654867257,904
CMH,DFW,14.410459587955627,631
DEN,COS,14.383067314365025,1441
LAS,BOS,14.23896499238965,657
FAR,DEN,14.116814159292035,565
LFT,DFW,14.095166163141993,662
HPN,PBI,14.065026362038664,569
MOB,DFW,14.054347826086957,552
DFW,ELP,13.87921568627451,1275
EWR,CLE,13.83972602739726,730
HOU,DFW,13.835587929240374,961
ORD,EWR,13.835329341317365,2004
DFW,MCO,13.725571725571726,1924
PBI,LGA,13.702845100105375,949
BNA,EWR,13.684410646387832,789
MIA,EWR,13.669304691916336,1769
DFW,SMF,13.580195258019526,717
DFW,PNS,13.577840112201963,713
LIT,DFW,13.562180579216355,1174
ORF,ORD,13.523099850968704,671
PBI,JFK,13.491132332878582,733
MIA,LAX,13.48913043478261,1196
EWR,MCO,13.362838075166842,2847
MCO,BUF,13.337931034482759,580
BRO,DFW,13.336466165413533,532
SJU,JFK,13.282240235814296,1357
MIA,LAS,13.272890484739676,557
MCO,LGA,13.1921749136939,1738
MEM,DFW,13.082961641391615,1121
DEN,OKC,12.982263513513514,1184
DFW,LAS,12.811134903640257,2335
DFW,SFO,12.794839521711769,1589
DFW,MSY,12.757625721352019,1213
FAT,LAS,12.74102079395085,529
PBI,BOS,12.694483734087694,707
FLL,DCA,12.562217194570136,884
IAH,BOS,12.540845070422534,710
BDL,MCO,12.515432098765432,972
DFW,ICT,12.496666666666666,900
AMA,DFW,12.483183856502242,892
MIA,DEN,12.447126436781609,870
DEN,EWR,12.430023455824863,1279
MCO,CLE,12.424206815511162,851
DFW,DSM,12.415492957746478,568
DFW,AUS,12.394678492239468,1804
HPN,DCA,12.32089552238806,536
OKC,DFW,12.310534591194969,1272
FLL,RDU,12.310077519379846,645
RDU,EWR,12.26086956521739,1035
MCO,DFW,12.235108065366369,1897
DFW,ONT,12.22549019607843,918
VPS,DFW,12.176646706586826,668
DCA,CLE,12.161290322580646,558
DFW,LFT,12.149359886201992,703
MCO,BDL,12.142703862660944,932
MIA,DFW,11.981916817359854,1659
PHL,ORF,11.972118959107807,538
DFW,TYS,11.922570016474465,607
PBI,EWR,11.913806254767353,1311
DEN,LGA,11.863029599535693,1723
TPA,SJU,11.8516228748068,647
ELP,DEN,11.839928057553957,556
AUS,DFW,11.796649335644137,1731
DEN,FAR,11.791738382099828,581
DFW,SLC,11.770935960591133,1624
FLL,BOS,11.732784431137725,1336
IAH,CLT,11.70558798999166,1199
TPA,JFK,11.642201834862385,981
DFW,MEM,11.608372093023256,1075
COS,DFW,11.60379596678529,843
AUS,BOS,11.575704225352112,568
SJU,MCO,11.543575192541548,2467
